racer,athlete_name,athlete_url,distance,year,best_time,best_time_seconds,best_date,best_venue
Christopher Lilley,Christopher Lilley,https://www.powerof10.uk/Home/Athlete/5aec1663-36bb-49ba-a70c-a0d5dd0ab2a2,p10_10k,2018,45:26,2726.0,25/11/2018,Doncaster
Christopher Lilley,Christopher Lilley,https://www.powerof10.uk/Home/Athlete/5aec1663-36bb-49ba-a70c-a0d5dd0ab2a2,p10_10k,2019,44:29,2669.0,12/05/2019,Rotherham
Christopher Lilley,Christopher Lilley,https://www.powerof10.uk/Home/Athlete/5aec1663-36bb-49ba-a70c-a0d5dd0ab2a2,p10_10k,2021,44:56,2696.0,05/12/2021,Sheffield
Christopher Lilley,Christopher Lilley,https://www.powerof10.uk/Home/Athlete/5aec1663-36bb-49ba-a70c-a0d5dd0ab2a2,p10_10k,2022,41:51,2511.0,04/12/2022,Sheffield
Christopher Lilley,Christopher Lilley,https://www.powerof10.uk/Home/Athlete/5aec1663-36bb-49ba-a70c-a0d5dd0ab2a2,p10_10k,2023,42:30,2550.0,05/02/2023,Dewsbury
Christopher Lilley,Christopher Lilley,https://www.powerof10.uk/Home/Athlete/5aec1663-36bb-49ba-a70c-a0d5dd0ab2a2,p10_5k,2016,22:24,1344.0,13/07/2016,Doncaster
Christopher Lilley,Christopher Lilley,https://www.powerof10.uk/Home/Athlete/5aec1663-36bb-49ba-a70c-a0d5dd0ab2a2,p10_5k,2017,22:55,1375.0,19/07/2017,Rotherham
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_10k,2016,38:26,2306.0,04/12/2016,Sheffield
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_10k,2017,38:44,2324.0,17/05/2017,Askern
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_10k,2019,39:38,2378.0,24/11/2019,Doncaster
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_10k,2020,39:29,2369.0,02/02/2020,Dewsbury
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_10k,2022,39:07,2347.0,04/12/2022,Sheffield
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_10k,2024,40:16,2416.0,01/12/2024,Sheffield
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_10k,2025,42:54,2574.0,09/11/2025,Gainsborough
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_10k,2026,41:02,2462.0,01/02/2026,Dewsbury
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_5k,2016,18:43,1123.0,13/07/2016,Doncaster
Colin Earl,Colin Earl,https://www.powerof10.uk/Home/Athlete/dd923582-99b1-45b0-8eaa-91b419fbec12,p10_5k,2019,19:32,1172.1,29/05/2019,Cudworth
